id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,__extra_
bitcoin,Bitcoin,BTC,1,10562.2,1.0,7123870000.0,178553991000,16905000.0,16905000.0,21000000.0,-0.4,-6.45,-1.73,1520414066,
ethereum,Ethereum,ETH,2,785.054,0.0745726,1906200000.0,76963217891.0,98035572.0,98035572.0,,-0.43,-7.35,-10.34,1520414052,
ripple,Ripple,XRP,3,0.901779,0.00008566,813869000.0,35252305626.0,39091956706.0,99992520283.0,100000000000,-0.83,-7.48,-3.19,1520414041,
bitcoin-cash,Bitcoin Cash,BCH,4,1157.79,0.109979,434020000.0,19687422969.0,17004313.0,17004313.0,21000000.0,-0.64,-7.18,-6.49,1520414053,
litecoin,Litecoin,LTC,5,190.513,0.0180969,666261000.0,10577159027.0,55519356.0,55519356.0,84000000.0,-1.14,-8.0,-11.2,1520414040,
neo,NEO,NEO,6,106.915,0.0101559,237066000.0,6949475000.0,65000000.0,100000000.0,100000000.0,-1.01,-4.25,-22.38,1520414047,
cardano,Cardano,ADA,7,0.26619,0.00002529,120714000.0,6901526907.0,25927070538.0,31112483745.0,45000000000.0,-1.2,-10.81,-17.65,1520414053,
stellar,Stellar,XLM,8,0.326575,0.00003102,37368200.0,6031310637.0,18468378282.0,103748462367,,-0.29,-9.58,-6.86,1520414043,
monero,Monero,XMR,9,343.339,0.0326139,101919000.0,5423819322.0,15797271.0,15797271.0,,-0.65,-5.73,15.65,1520414042,
eos,EOS,EOS,10,6.94198,0.00065942,329958000.0,4947173842.0,712645937.0,900000000.0,1000000000.0,-0.28,-11.85,-21.22,1520414051,
iota,IOTA,MIOTA,11,1.6742,0.00015903,66915200.0,4653489600.0,2779530283.0,2779530283.0,2779530283.0,1.42,-10.89,-14.23,1520414050,
dash,Dash,DASH,12,557.971,0.0530019,123377000.0,4425482367.0,7931384.0,7931384.0,18900000.0,-0.1,-6.46,-7.7,1520414041,
nem,NEM,XEM,13,0.325399,0.00003091,22131300.0,2928591000.0,8999999999.0,8999999999.0,,-0.37,-8.05,-20.58,1520414044,
tron,TRON,TRX,14,0.0427924,0.00000406,241742000.0,2813522952.0,65748192475.0,100000000000,,-0.14,-8.23,1.3,1520414053,
ethereum-classic,Ethereum Classic,ETC,15,23.5277,0.00223491,394739000.0,2360724151.0,100338076.0,100338076.0,,-1.57,-11.75,-32.57,1520414047,
tether,Tether,USDT,16,1.00254,0.00009523,2626980000.0,2222772351.0,2217140814.0,2280109970.0,,0.32,0.2,0.19,1520414045,
vechain,VeChain,VEN,17,4.58473,0.0004355,143026000.0,2178763590.0,475221788.0,873378637.0,,-0.97,0.63,-9.69,1520414052,
qtum,Qtum,QTUM,18,23.4449,0.00222704,135639000.0,1733302182.0,73930884.0,100430884.0,,-0.45,-10.72,-14.11,1520414050,
nano,Nano,NANO,19,12.7828,0.00121424,60964400.0,1703286231.0,133248289.0,133248289.0,133248290.0,0.92,-9.2,-11.27,1520414048,
bitcoin-gold,Bitcoin Gold,BTG,20,99.5101,0.0094525,27811200.0,1678289939.0,16865524.0,16965524.0,21000000.0,0.23,-8.12,-15.35,1520414054,
lisk,Lisk,LSK,21,16.3002,0.00154837,28648000.0,1671730222.0,102558878.0,118775524.0,,-0.61,-9.9,-15.87,1520414046,
omisego,OmiseGO,OMG,22,15.8085,0.00150166,46008600.0,1613139680.0,102042552.0,140245398.0,,-0.48,-6.61,-21.54,1520414051,
zcash,Zcash,ZEC,23,366.422,0.0348066,65509500.0,1255451087.0,3426244.0,3426244.0,,-0.4,-5.43,-8.82,1520414048,
icon,ICON,ICX,24,3.22003,0.00030587,30699000.0,1242823257.0,385966359.0,400230000.0,,0.08,-8.32,-14.95,1520414054,
digixdao,DigixDAO,DGD,25,484.637,0.0460358,61647000.0,969274000.0,2000000.0,2000000.0,,1.19,-2.73,-10.3,1520414046,
